"BioCeramic",,,"Coralline",,,"MedPor",,
"Time","Force","Stroke","Time","Force","Stroke","Time","Force","Stroke"
"sec","N","mm","sec","N","mm","sec","N","mm"
,,,,,,"180.284","642.3474","3.004302"
,,,,,,"180.286","642.3474","3.004333"
,,,,,,"180.288","642.3474","3.004364"
,,,,,,"180.29","642.3791","3.004396"
,,,,,,"180.292","642.3791","3.004427"
,,,,,,"180.294","642.3791","3.004469"
,,,,,,"180.296","642.3791","3.0045"
,,,,,,"180.298","642.3791","3.004531"
,,,,,,"180.3","642.3791","3.004562"
,,,,,,"180.302","642.395","3.004594"
,,,,,,"180.304","642.4268","3.004635"
,,,,,,"180.306","642.4268","3.004667"
,,,,,,"180.308","642.4268","3.004698"
,,,,,,"180.31","642.4268","3.004729"
,,,,,,"180.312","642.4268","3.00476"
,,,,,,"180.314","642.4268","3.004802"
,,,,,,"180.316","642.4268","3.004833"
,,,,,,"180.318","642.4586","3.004864"
,,,,,,"180.32","642.4586","3.004896"
,,,,,,"180.322","642.4586","3.004927"
,,,,,,"180.324","642.4586","3.004969"
,,,,,,"180.326","642.4586","3.005"
,,,,,,"180.328","642.5063","3.005031"
,,,,,,"180.33","642.5063","3.005063"
,,,,,,"180.332","642.5063","3.005094"
,,,,,,"180.334","642.5063","3.005135"
,,,,,,"180.336","642.5063","3.005167"
,,,,,,"180.338","642.5063","3.005198"
,,,,,,"180.34","642.5063","3.005229"
,,,,,,"180.342","642.5381","3.00526"
,,,,,,"180.344","642.5381","3.005302"
,,,,,,"180.346","642.5381","3.005333"
,,,,,,"180.348","642.5381","3.005365"
,,,,,,"180.35","642.5381","3.005396"
,,,,,,"180.352","642.5858","3.005427"
,,,,,,"180.354","642.5858","3.005469"
,,,,,,"180.356","642.5858","3.0055"
,,,,,,"180.358","642.5858","3.005531"
,,,,,,"180.36","642.5858","3.005563"
,,,,,,"180.362","642.5858","3.005594"
,,,,,,"180.364","642.6176","3.005635"
,,,,,,"180.366","642.6176","3.005667"
,,,,,,"180.368","642.6176","3.005698"
,,,,,,"180.37","642.6176","3.005729"
,,,,,,"180.372","642.6176","3.00576"
,,,,,,"180.374","642.6176","3.005802"
,,,,,,"180.376","642.6652","3.005833"
,,,,,,"180.378","642.6652","3.005865"
,,,,,,"180.38","642.6652","3.005896"
,,,,,,"180.382","642.6652","3.005927"
,,,,,,"180.384","642.6652","3.005969"
,,,,,,"180.386","642.6652","3.006"
,,,,,,"180.388","642.6652","3.006031"
,,,,,,"180.39","642.697","3.006063"
,,,,,,"180.392","642.697","3.006094"
,,,,,,"180.394","642.697","3.006125"
,,,,,,"180.396","642.697","3.006156"
,,,,,,"180.398","642.697","3.006198"
,,,,,,"180.4","642.7447","3.006229"
,,,,,,"180.402","642.7447","3.00626"
,,,,,,"180.404","642.7447","3.006292"
,,,,,,"180.406","642.7447","3.006323"
,,,,,,"180.408","642.7447","3.006365"
,,,,,,"180.41","642.7447","3.006396"
,,,,,,"180.412","642.7447","3.006427"
,,,,,,"180.414","642.7765","3.006458"
,,,,,,"180.416","642.7765","3.00649"
,,,,,,"180.418","642.7765","3.006531"
,,,,,,"180.42","642.7765","3.006562"
,,,,,,"180.422","642.7765","3.006594"
,,,,,,"180.424","642.7765","3.006625"
,,,,,,"180.426","642.8242","3.006656"
,,,,,,"180.428","642.8242","3.006687"
,,,,,,"180.43","642.8242","3.006729"
,,,,,,"180.432","642.8242","3.00676"
,,,,,,"180.434","642.8242","3.006792"
,,,,,,"180.436","642.8242","3.006823"
,,,,,,"180.438","642.8401","3.006854"
,,,,,,"180.44","642.856","3.006896"
,,,,,,"180.442","642.856","3.006927"
,,,,,,"180.444","642.856","3.006958"
,,,,,,"180.446","642.856","3.006989"
,,,,,,"180.448","642.856","3.007021"
,,,,,,"180.45","642.9036","3.007052"
,,,,,,"180.452","642.9036","3.007094"
,,,,,,"180.454","642.9036","3.007125"
,,,,,,"180.456","642.9036","3.007156"
,,,,,,"180.458","642.9036","3.007187"
,,,,,,"180.46","642.9036","3.007219"
,,,,,,"180.462","642.9196","3.00726"
,,,,,,"180.464","642.9354","3.007292"
,,,,,,"180.466","642.9354","3.007323"
,,,,,,"180.468","642.9354","3.007354"
,,,,,,"180.47","642.9354","3.007385"
,,,,,,"180.472","642.9354","3.007427"
,,,,,,"180.474","642.9354","3.007458"
,,,,,,"180.476","642.9832","3.007489"
,,,,,,"180.478","642.9832","3.007521"
,,,,,,"180.48","642.9832","3.007552"
,,,,,,"180.482","642.9832","3.007583"
,,,,,,"180.484","642.9832","3.007615"
,,,,,,"180.486","642.9832","3.007656"
,,,,,,"180.488","643.0149","3.007688"
,,,,,,"180.49","643.0149","3.007719"
,,,,,,"180.492","643.0149","3.00775"
,,,,,,"180.494","643.0149","3.007781"
,,,,,,"180.496","643.0149","3.007823"
,,,,,,"180.498","643.0149","3.007854"
,,,,,,"180.5","643.0149","3.007885"
,,,,,,"180.502","643.0626","3.007917"
,,,,,,"180.504","643.0626","3.007948"
,,,,,,"180.506","643.0626","3.007979"
,,,,,,"180.508","643.0626","3.008021"
,,,,,,"180.51","643.0626","3.008052"
,,,,,,"180.512","643.0944","3.008083"
,,,,,,"180.514","643.0944","3.008115"
,,,,,,"180.516","643.0944","3.008146"
,,,,,,"180.518","643.0944","3.008177"
,,,,,,"180.52","643.0944","3.008219"
,,,,,,"180.522","643.0944","3.00825"
,,,,,,"180.524","643.0944","3.008281"
,,,,,,"180.526","643.142","3.008312"
,,,,,,"180.528","643.142","3.008344"
,,,,,,"180.53","643.142","3.008385"
,,,,,,"180.532","643.142","3.008417"
,,,,,,"180.534","643.142","3.008448"
,,,,,,"180.536","643.1739","3.008479"
,,,,,,"180.538","643.1739","3.00851"
,,,,,,"180.54","643.1739","3.008552"
,,,,,,"180.542","643.1739","3.008583"
,,,,,,"180.544","643.1739","3.008615"
,,,,,,"180.546","643.1739","3.008646"
,,,,,,"180.548","643.2216","3.008677"
,,,,,,"180.55","643.2216","3.008708"
,,,,,,"180.552","643.2216","3.008739"
,,,,,,"180.554","643.2216","3.008781"
,,,,,,"180.556","643.2216","3.008812"
,,,,,,"180.558","643.2374","3.008844"
,,,,,,"180.56","643.2533","3.008885"
,,,,,,"180.562","643.2533","3.008917"
,,,,,,"180.564","643.2533","3.008948"
,,,,,,"180.566","643.2533","3.008979"
,,,,,,"180.568","643.2533","3.00901"
,,,,,,"180.57","643.301","3.009052"
,,,,,,"180.572","643.301","3.009083"
,,,,,,"180.574","643.301","3.009115"
,,,,,,"180.576","643.301","3.009146"
,,,,,,"180.578","643.301","3.009177"
,,,,,,"180.58","643.301","3.009219"
,,,,,,"180.582","643.3328","3.00925"
,,,,,,"180.584","643.3328","3.009281"
,,,,,,"180.586","643.3328","3.009312"
,,,,,,"180.588","643.3328","3.009344"
,,,,,,"180.59","643.3328","3.009385"
,,,,,,"180.592","643.3646","3.009417"
,,,,,,"180.594","643.3646","3.009448"
,,,,,,"180.596","643.3646","3.009479"
,,,,,,"180.598","643.3646","3.00951"
,,,,,,"180.6","643.3646","3.009552"
,,,,,,"180.602","643.3646","3.009583"
,,,,,,"180.604","643.4123","3.009614"
,,,,,,"180.606","643.4123","3.009646"
,,,,,,"180.608","643.4123","3.009677"
,,,,,,"180.61","643.4123","3.009708"
,,,,,,"180.612","643.4123","3.00975"
,,,,,,"180.614","643.4123","3.009781"
,,,,,,"180.616","643.4441","3.009812"
,,,,,,"180.618","643.4441","3.009844"
,,,,,,"180.62","643.4441","3.009885"
,,,,,,"180.622","643.4441","3.009917"
,,,,,,"180.624","643.4441","3.009948"
,,,,,,"180.626","643.4441","3.009979"
,,,,,,"180.628","643.4918","3.01001"
,,,,,,"180.63","643.4918","3.010042"
,,,,,,"180.632","643.4918","3.010083"
,,,,,,"180.634","643.4918","3.010115"
,,,,,,"180.636","643.4918","3.010146"
,,,,,,"180.638","643.5076","3.010177"
,,,,,,"180.64","643.5235","3.010219"
,,,,,,"180.642","643.5235","3.01025"
,,,,,,"180.644","643.5235","3.010281"
,,,,,,"180.646","643.5235","3.010313"
,,,,,,"180.648","643.5235","3.010344"
,,,,,,"180.65","643.5712","3.010375"
,,,,,,"180.652","643.5712","3.010417"
,,,,,,"180.654","643.5712","3.010448"
,,,,,,"180.656","643.5712","3.010479"
,,,,,,"180.658","643.5712","3.01051"
,,,,,,"180.66","643.5712","3.010542"
,,,,,,"180.662","643.603","3.010573"
,,,,,,"180.664","643.603","3.010615"
,,,,,,"180.666","643.603","3.010646"
,,,,,,"180.668","643.603","3.010677"
,,,,,,"180.67","643.603","3.010708"
,,,,,,"180.672","643.6507","3.01074"
,,,,,,"180.674","643.6507","3.010781"
,,,,,,"180.676","643.6507","3.010813"
,,,,,,"180.678","643.6507","3.010844"
,,,,,,"180.68","643.6507","3.010875"
,,,,,,"180.682","643.6507","3.010906"
,,,,,,"180.684","643.6825","3.010948"
,,,,,,"180.686","643.6825","3.010979"
,,,,,,"180.688","643.6825","3.01101"
,,,,,,"180.69","643.6825","3.011042"
,,,,,,"180.692","643.6825","3.011073"
,,,,,,"180.694","643.6984","3.011115"
,,,,,,"180.696","643.7302","3.011146"
,,,,,,"180.698","643.7302","3.011177"
,,,,,,"180.7","643.7302","3.011208"
,,,,,,"180.702","643.7302","3.01124"
,,,,,,"180.704","643.7302","3.011271"
,,,,,,"180.706","643.762","3.011302"
,,,,,,"180.708","643.762","3.011344"
,,,,,,"180.71","643.762","3.011375"
,,,,,,"180.712","643.762","3.011406"
,,,,,,"180.714","643.762","3.011437"
,,,,,,"180.716","643.762","3.011469"
,,,,,,"180.718","643.8096","3.01151"
,,,,,,"180.72","643.8096","3.011542"
,,,,,,"180.722","643.8096","3.011573"
,,,,,,"180.724","643.8096","3.011604"
